OBJECTID_1,OBJECTID,Id,GridID,Score,ShapeSTArea,ShapeSTLength
1,1031,0,1031,2,6969599.83808,10559.9998773333
2,3030,0,3030,2,6969599.83808,10559.9998773333
3,993,0,993,4,6969599.83808,10559.9998773333
4,790,0,790,2,6969599.83808,10559.9998773333
5,1811,0,1811,0,6969599.83808,10559.9998773333
6,1698,0,1698,5,6969599.83808,10559.9998773333
7,2452,0,2452,4,6969599.83808,10559.9998773333
8,843,0,843,4,6969599.83808,10559.9998773333
9,1789,0,1789,3,6969600.70421999,10560.0005335
10,1586,0,1586,3,6969599.83808,10559.9998773333
11,698,0,698,1,6969599.83808,10559.9998773333
12,3086,0,3086,2,6969599.83808,10559.9998773333
13,2688,0,2688,4,6969599.83808,10559.9998773333
14,1713,0,1713,4,6969599.83808,10559.9998773333
15,3223,0,3223,2,6969599.83808,10559.9998773333
16,1431,0,1431,3,6969599.83808,10559.9998773333
17,83,0,83,1,6969599.83808,10559.9998773333
18,2003,0,2003,3,6969599.83808,10559.9998773333
19,964,0,964,2,6969600.70421999,10560.0005335
20,1959,0,1959,3,6969599.83808,10559.9998773333
21,3340,0,3340,1,6969599.83808,10559.9998773333
22,3329,0,3329,3,6969599.83808,10559.9998773333
23,1194,0,1194,3,6969599.83808,10559.9998773333
24,1064,0,1064,6,6969599.83808,10559.9998773333
25,2460,0,2460,4,6969599.83808,10559.9998773333
26,1863,0,1863,2,6969599.83808,10559.9998773333
27,2459,0,2459,4,6969599.83808,10559.9998773333
28,3044,0,3044,4,6969599.83808,10559.9998773333
29,2402,0,2402,4,6969599.83808,10559.9998773333
30,2244,0,2244,5,6969599.83808,10559.9998773333
31,787,0,787,3,6969599.83808,10559.9998773333
32,1788,0,1788,1,6969599.83808,10559.9998773333
33,902,0,902,3,6969599.83808,10559.9998773333
34,3625,0,3625,1,6969599.83808,10559.9998773333
35,1939,0,1939,4,6969599.83808,10559.9998773333
36,2651,0,2651,3,6969599.83808,10559.9998773333
37,1905,0,1905,2,6969600.70421999,10560.0005335
38,1770,0,1770,5,6969599.83808,10559.9998773333
39,1468,0,1468,4,6969599.83808,10559.9998773333
40,2706,0,2706,3,6969600.70421999,10560.0005335
41,3095,0,3095,1,6969599.83808,10559.9998773333
42,3339,0,3339,1,6969599.83808,10559.9998773333
43,1505,0,1505,1,6969599.83808,10559.9998773333
44,3034,0,3034,3,6969599.83808,10559.9998773333
45,3670,0,3670,1,6969599.83808,10559.9998773333
46,2306,0,2306,1,6969599.83808,10559.9998773333
47,2456,0,2456,3,6969599.83808,10559.9998773333
48,675,0,675,5,6969599.83808,10559.9998773333
49,1582,0,1582,0,6969599.83808,10559.9998773333
50,2507,0,2507,5,6969599.83808,10559.9998773333
51,2466,0,2466,3,6969599.83808,10559.9998773333
52,256,0,256,4,6969599.83808,10559.9998773333
53,847,0,847,3,6969599.83808,10559.9998773333
54,1432,0,1432,4,6969599.83808,10559.9998773333
55,2399,0,2399,3,6969599.83808,10559.9998773333
56,3038,0,3038,1,6969599.83808,10559.9998773333
57,903,0,903,2,6969599.83808,10559.9998773333
58,1952,0,1952,3,6969600.70421999,10560.0005335
59,1490,0,1490,3,6969599.83808,10559.9998773333
60,2917,0,2917,1,6969600.70421999,10560.0005335
61,1107,0,1107,1,6969599.83808,10559.9998773333
62,3962,0,3962,1,6969599.83808,10559.9998773333
63,1754,0,1754,0,6969599.83808,10559.9998773333
64,1170,0,1170,2,6969599.83808,10559.9998773333
65,1936,0,1936,4,6969599.83808,10559.9998773333
66,1008,0,1008,5,6969599.83808,10559.9998773333
67,1435,0,1435,4,6969599.83808,10559.9998773333
68,2121,0,2121,3,6969599.83808,10559.9998773333
69,779,0,779,2,6969599.83808,10559.9998773333
70,3556,0,3556,1,6969599.83808,10559.9998773333
71,1771,0,1771,4,6969599.83808,10559.9998773333
72,1866,0,1866,2,6969599.83808,10559.9998773333
73,2761,0,2761,4,6969599.83808,10559.9998773333
74,1558,0,1558,1,6969600.70421999,10560.0005335
75,1883,0,1883,3,6969600.70421999,10560.0005335
76,795,0,795,1,6969599.83808,10559.9998773333
77,940,0,940,5,6969600.70421999,10560.0005335
78,1762,0,1762,2,6969599.83808,10559.9998773333
79,2332,0,2332,1,6969599.83808,10559.9998773333
80,1383,0,1383,1,6969600.70421999,10560.0005335
81,1984,0,1984,2,6969599.83808,10559.9998773333
82,1646,0,1646,7,6969599.83808,10559.9998773333
83,2880,0,2880,1,6969600.70421999,10560.0005335
84,2418,0,2418,3,6969599.83808,10559.9998773333
85,3048,0,3048,3,6969599.83808,10559.9998773333
86,2911,0,2911,1,6969599.83808,10559.9998773333
87,2536,0,2536,3,6969599.83808,10559.9998773333
88,432,0,432,2,6969599.83808,10559.9998773333
89,2389,0,2389,3,6969599.83808,10559.9998773333
