OBJECTID_1,OBJECTID,Id,GridID,Score,ShapeSTArea,ShapeSTLength
1,2904,0,1103,0,6969599.83808,10559.9998773333
2,845,0,1477,1,6969600.70421999,10560.0005335
3,1920,0,2993,0,6969599.83808,10559.9998773333
4,2998,0,1745,0,6969599.83808,10559.9998773333
5,281,0,775,1,6969599.83808,10559.9998773333
6,306,0,815,0,6969599.83808,10559.9998773333
7,357,0,881,3,6969599.83808,10559.9998773333
8,1782,0,2745,1,6969599.83808,10559.9998773333
9,1200,0,1881,3,6969599.83808,10559.9998773333
10,711,0,1313,2,6969599.83808,10559.9998773333
11,1528,0,2335,2,6969599.83808,10559.9998773333
12,447,0,997,2,6969599.83808,10559.9998773333
13,1581,0,2408,5,6969599.83808,10559.9998773333
14,600,0,1179,3,6969599.83808,10559.9998773333
15,786,0,1409,0,6969600.70421999,10560.0005335
16,1600,0,2448,1,6969599.83808,10559.9998773333
17,380,0,904,0,6969599.83808,10559.9998773333
18,818,0,1441,3,6969600.70421999,10560.0005335
19,1555,0,2362,0,6969599.83808,10559.9998773333
20,2051,0,3320,0,6969599.83808,10559.9998773333
21,2119,0,3456,0,6969599.83808,10559.9998773333
22,1538,0,2345,3,6969599.83808,10559.9998773333
23,4093,0,4091,0,6969599.83808,10559.9998773333
24,1091,0,1755,0,6969599.83808,10559.9998773333
25,755,0,1368,0,6969599.83808,10559.9998773333
26,106,0,488,0,6969599.83808,10559.9998773333
27,1882,0,2928,3,6969599.83808,10559.9998773333
28,1140,0,1812,0,6969599.83808,10559.9998773333
29,669,0,1259,2,6969599.83808,10559.9998773333
30,979,0,1632,0,6969599.83808,10559.9998773333
31,740,0,1353,3,6969599.83808,10559.9998773333
32,1400,0,2134,0,6969599.83808,10559.9998773333
33,1503,0,2291,3,6969599.83808,10559.9998773333
34,1981,0,3147,0,6969599.83808,10559.9998773333
35,597,0,1176,5,6969599.83808,10559.9998773333
36,650,0,1240,3,6969599.83808,10559.9998773333
37,2000,0,3166,0,6969599.83808,10559.9998773333
38,1959,0,3091,0,6969600.70421999,10560.0005335
39,1992,0,3158,1,6969599.83808,10559.9998773333
40,429,0,967,2,6969600.70421999,10560.0005335
41,1396,0,2130,1,6969599.83808,10559.9998773333
42,1342,0,2060,6,6969599.83808,10559.9998773333
43,1485,0,2273,2,6969599.83808,10559.9998773333
44,844,0,1476,2,6969599.83808,10559.9998773333
45,866,0,1498,1,6969599.83808,10559.9998773333
46,2139,0,3511,0,6969599.83808,10559.9998773333
47,2229,0,3785,0,6969599.83808,10559.9998773333
48,1657,0,2526,3,6969599.83808,10559.9998773333
49,300,0,794,1,6969599.83808,10559.9998773333
50,664,0,1254,2,6969599.83808,10559.9998773333
51,704,0,1306,1,6969599.83808,10559.9998773333
52,3500,0,3144,0,6969599.83808,10559.9998773333
53,1160,0,1832,4,6969599.83808,10559.9998773333
54,434,0,972,0,6969600.70421999,10560.0005335
55,2091,0,3394,0,6969600.70421999,10560.0005335
56,1987,0,3153,0,6969599.83808,10559.9998773333
57,3086,0,2192,0,6969600.70421999,10560.0005335
58,697,0,1299,1,6969599.83808,10559.9998773333
59,1716,0,2631,2,6969599.83808,10559.9998773333
60,1667,0,2536,1,6969599.83808,10559.9998773333
61,1643,0,2512,2,6969599.83808,10559.9998773333
62,1999,0,3165,1,6969599.83808,10559.9998773333
63,1101,0,1765,0,6969599.83808,10559.9998773333
64,779,0,1402,1,6969599.83808,10559.9998773333
65,937,0,1584,2,6969599.83808,10559.9998773333
66,581,0,1151,2,6969600.70421999,10560.0005335
67,1252,0,1944,4,6969599.83808,10559.9998773333
68,871,0,1503,2,6969599.83808,10559.9998773333
69,778,0,1401,1,6969599.83808,10559.9998773333
70,1427,0,2178,2,6969600.70421999,10560.0005335
71,3436,0,3054,0,6969600.70421999,10560.0005335
72,225,0,701,0,6969599.83808,10559.9998773333
73,1246,0,1938,3,6969599.83808,10559.9998773333
74,319,0,828,0,6969599.83808,10559.9998773333
75,2331,0,4086,2,6969599.83808,10559.9998773333
76,910,0,1550,3,6969600.70421999,10560.0005335
77,2186,0,3630,0,6969599.83808,10559.9998773333
78,840,0,1472,4,6969599.83808,10559.9998773333
79,206,0,666,0,6969599.83808,10559.9998773333
80,1004,0,1657,1,6969599.83808,10559.9998773333
81,1753,0,2692,1,6969599.83808,10559.9998773333
82,2138,0,3510,0,6969599.83808,10559.9998773333
83,424,0,962,0,6969600.70421999,10560.0005335
84,1278,0,1982,2,6969599.83808,10559.9998773333
85,1401,0,2152,0,6969601.57036009,10560.0011896667
86,2042,0,3277,0,6969599.83808,10559.9998773333
87,743,0,1356,2,6969599.83808,10559.9998773333
88,1303,0,2007,2,6969599.83808,10559.9998773333
89,21,0,202,0,6969599.83808,10559.9998773333
90,1927,0,3028,0,6969599.83808,10559.9998773333
91,1952,0,3053,0,6969599.83808,10559.9998773333
92,2129,0,3501,4,6969599.83808,10559.9998773333
93,383,0,907,1,6969599.83808,10559.9998773333
94,3006,0,1803,0,6969599.83808,10559.9998773333
95,1473,0,2242,3,6969600.70421999,10560.0005335
96,2130,0,3502,3,6969599.83808,10559.9998773333
97,283,0,777,2,6969599.83808,10559.9998773333
98,415,0,953,0,6969600.70421999,10560.0005335
99,2296,0,3967,1,6969599.83808,10559.9998773333
100,1948,0,3049,0,6969599.83808,10559.9998773333
101,97,0,467,0,6969599.83808,10559.9998773333
102,1505,0,2293,4,6969599.83808,10559.9998773333
103,1988,0,3154,0,6969599.83808,10559.9998773333
104,2013,0,3213,0,6969599.83808,10559.9998773333
105,582,0,1152,2,6969599.83808,10559.9998773333
106,413,0,951,4,6969600.70421999,10560.0005335
107,1035,0,1693,2,6969599.83808,10559.9998773333
108,101,0,483,1,6969599.83808,10559.9998773333
109,318,0,827,0,6969599.83808,10559.9998773333
110,1164,0,1836,5,6969600.70421999,10560.0005335
111,324,0,833,2,6969599.83808,10559.9998773333
112,1186,0,1867,0,6969599.83808,10559.9998773333
113,488,0,1048,0,6969599.83808,10559.9998773333
114,1468,0,2237,4,6969599.83808,10559.9998773333
115,1742,0,2681,1,6969599.83808,10559.9998773333
116,1770,0,2709,1,6969599.83808,10559.9998773333
117,3122,0,2268,0,6969600.70421999,10560.0005335
118,1286,0,1990,2,6969599.83808,10559.9998773333
119,1862,0,2881,0,6969599.83808,10559.9998773333
120,744,0,1357,3,6969599.83808,10559.9998773333
121,1792,0,2755,1,6969599.83808,10559.9998773333
122,745,0,1358,4,6969599.83808,10559.9998773333
123,771,0,1384,0,6969599.83808,10559.9998773333
124,998,0,1651,6,6969600.70421999,10560.0005335
125,961,0,1608,1,6969599.83808,10559.9998773333
126,1954,0,3086,1,6969599.83808,10559.9998773333
127,1478,0,2247,1,6969599.83808,10559.9998773333
128,580,0,1150,0,6969599.83808,10559.9998773333
