X,Y,OBJECTID,APTCODE,PROJECT_NA,ADDRESS,CITYSTATEZ,TYPE,MIN_rentMO,MAX_rentMO,units,Credit,Avg_Rent,Affordable,URL
1492456.5634051,583650.170162588,1,991,BELMONT AT TRYON,701 SAWYERS MILL ROAD,"CHARLOTTE, NC",MARKET RATE,1100,1200,294,Real Data,1200,no,https://www.aptindex.com/
1454343.96082467,541644.177403092,2,784,VISTAS AT 707, SEIGLE AVENUE,"CHARLOTTE, NC",MARKET RATE,1000,1100,190,Real Data,1100,yes,https://www.aptindex.com/
1484023.96511284,578331.842216596,3,203,HUNT CLUB,100 HERITAGE POINTE ROAD,"CHARLOTTE, NC 28262",MARKET RATE,600,1200,300,Real Data,1200,no,https://www.aptindex.com/
1449096.11502117,520876.978452012,4,201,3400 SELWYN,"100 MATADOR LANE, STE#214","CHARLOTTE, NC 28209",MARKET RATE,500,1100,129,Real Data,1000,yes,https://www.aptindex.com/
1418952.20746134,577335.583710417,5,465,ALTA GROVE,10017 SEASON GROVE LANE,"CHARLOTTE, NC 28216",MARKET RATE,600,1100,240,Real Data,1100,no,https://www.aptindex.com/
1443138.445178,494718.498944923,6,214,PARK AT CATERINA,10019 PLUM CREEK LANE,"CHARLOTTE, NC 28210",MARKET RATE,600,1000,276,Real Data,1000,yes,https://www.aptindex.com/
1447469.42306459,585859.360954165,7,676,PERIMETER STATION,10051 PERIMETER STATION DRIVE,"CHARLOTTE, NC 28216",MARKET RATE,800,1200,203,Real Data,1200,no,https://www.aptindex.com/
1443644.09869425,524065.180080846,8,174,WILDWOOD,1022 FOREST OAK DRIVE,"CHARLOTTE, NC 28209",MARKET RATE,600,1000,248,Real Data,1000,yes,https://www.aptindex.com/
1434468.22137676,510943.906782761,9,091,OAK PARK AT NATIONS FORD,103 DINADAN DRIVE,"CHARLOTTE, NC 28217",MARKET RATE,600,1000,202,Real Data,900,yes,https://www.aptindex.com/
1445152.94967918,493689.896015257,10,276,JOHNSTON CREEK CROSSING,10310 CEDAR TRAIL LANE,"CHARLOTTE, NC 28210",MARKET RATE,600,1100,260,Real Data,1100,no,https://www.aptindex.com/
1489286.9142326,573823.019541338,11,407,PAVILION AT UC,10425 WHEATSIDE DRIVE,"CHARLOTTE, NC 28262",MARKET RATE,600,1100,249,Real Data,1100,yes,https://www.aptindex.com/
1481354.99472901,524821.010590166,12,389,WATERFORD CREEK,10510 WATERFORD CREEK LANE,"CHARLOTTE, NC 28212",MARKET RATE,700,1200,264,Real Data,1200,no,https://www.aptindex.com/
1427545.69782026,556427.185566679,13,273,PARK FAIRFAX,108 PARK FAIRFAX DRIVE,"CHARLOTTE, NC 28208",MARKET RATE,500,900,138,Real Data,900,yes,https://www.aptindex.com/
1409723.50675867,513265.166575924,14,733,PRESERVE AT STEELE CREEK,10830 MORGAN CREEK DRIVE,"CHARLOTTE, NC 28273",MARKET RATE,800,1200,240,Real Data,1100,no,https://www.aptindex.com/
1414138.62817776,504116.627130255,15,126,"HARLOWE, THE",10900 POINT SOUTH DRIVE,"CHARLOTTE, NC 28273",MARKET RATE,600,1100,192,Real Data,1100,no,https://www.aptindex.com/
1454846.65896626,542408.591556668,16,698,SEIGLE POINT APT HOMES,110 WINDING PATH WAY,"CHARLOTTE, NC 28204",AFFORDABLE,700,800,84,Real Data,800,Aff,https://www.aptindex.com/
1443188.01233609,525228.694486082,17,220,BEACON TIMBER CREEK,1100 FALLS CREEK LANE,"CHARLOTTE, NC 28209",MARKET RATE,500,1100,352,Real Data,1100,no,https://www.aptindex.com/
1443913.92984751,523616.032357082,18,052,CHARLOTTE WOODS,1116 SCALEYBARK ROAD,"CHARLOTTE, NC 28209",MARKET RATE,600,1100,266,Real Data,1000,yes,https://www.aptindex.com/
1432619.65059884,554721.513125002,19,310,EAST COAST,1120 C MARBLE STREET,"CHARLOTTE, NC 28208",MARKET RATE,500,800,102,Real Data,800,yes,https://www.aptindex.com/
1437878.64533018,515044.384146094,20,117,LAKE MIST,1120-A LAKE MIST DRIVE,"CHARLOTTE, NC 28217",MARKET RATE,500,1100,144,Real Data,1100,yes,https://www.aptindex.com/
1471816.87732235,550666.0389525,21,159,HIGHLAND TRACE,1131 GLENFIDDICH DRIVE,"CHARLOTTE, NC 28215",MARKET RATE,600,800,90,Real Data,800,yes,https://www.aptindex.com/
1488857.03353067,581732.628394008,22,729,ARWEN VISTA,11505 MASTERTON ROAD,"CHARLOTTE, NC 28262",MARKET RATE,900,1300,135,Real Data,1200,no,https://www.aptindex.com/
1495445.29233576,575117.576335415,23,581,VILLAGE AT BRIERFIELD,11609 WINDY CREEK DRIVE,"CHARLOTTE, NC 28262",MARKET RATE,600,1100,186,Real Data,900,yes,https://www.aptindex.com/
1479383.22734709,535351.107312083,24,077,AVALON HEIGHTS I,1207 KELSTON PLACE,"CHARLOTTE, NC 28212",MARKET RATE,500,1000,310,Real Data,900,yes,https://www.aptindex.com/
1433883.59984259,530734.186427832,25,574,PRESSLEY SOUTH END,1210 PRESSLEY ROAD,"CHARLOTTE, NC 28217",AFFORDABLE,500,900,504,Real Data,900,Aff,https://www.aptindex.com/
1451629.87176467,551405.159521505,26,740,"MCNEEL, THE",1214 KOHLER AVENUE,"CHARLOTTE, NC 28206",AFFORDABLE,400,700,48,Real Data,700,Aff,https://www.aptindex.com/
1408705.66791509,499750.673263758,27,607,ARBOR STEELE CREEK,12235 STONE ARBOR WAY,"CHARLOTTE, NC 28273",MARKET RATE,500,1200,384,Real Data,1100,no,https://www.aptindex.com/
1407503.95903243,500236.202148333,28,718,ENCLAVE AT RIVERGATE,12400 TOSCANA WAY,"CHARLOTTE, NC 28773",MARKET RATE,800,1300,216,Real Data,1200,no,https://www.aptindex.com/
1413318.92049959,504178.684748918,29,114,YORK RIDGE,13001 YORK RIDGE DRIVE,"CHARLOTTE, NC 28273",MARKET RATE,600,1200,240,Real Data,1200,no,https://www.aptindex.com/
1483981.02786276,565529.144068763,30,453,PIEDMONT AT IVY MEADOW,1301 IVY MEADOW DRIVE,"CHARLOTTE, NC 28213",MARKET RATE,700,1200,372,Real Data,1200,no,https://www.aptindex.com/
1467823.91089883,561394.11526534,31,147,SILVERSTONE,1305 HUNTER OAK LANE,"CHARLOTTE, NC 28213",MARKET RATE,500,900,94,Real Data,900,yes,https://www.aptindex.com/
1427458.08939968,557591.360731751,32,098,COLONIAL PLACE,1307 SPRINGMONT LANE,"CHARLOTTE, NC 27208",MARKET RATE,500,800,136,Real Data,800,yes,https://www.aptindex.com/
1489541.1853776,580763.560122177,33,734,PAVILION VILLAGE,131 GRACYN OLIVIA DRIVE,"CHARLOTTE, NC 28262",MARKET RATE,1000,1200,294,Real Data,1200,no,https://www.aptindex.com/
1467712.48001935,527137.636862427,34,166,DELANE GLEN,1315-3 DELANE AVENUE,"CHARLOTTE, NC 28211",MARKET RATE,500,900,60,Real Data,900,yes,https://www.aptindex.com/
1464571.12016034,537639.13390401,35,196,WEMBLEY,1317 WEMBLEY DRIVE,"CHARLOTTE, NC 28205",MARKET RATE,600,900,101,Real Data,900,yes,https://www.aptindex.com/
1403256.09941792,498275.985924423,36,663,STEELE CREEK SOUTH,13212 WINTER HAZEL ROAD,"CHARLOTTE, NC 28278",MARKET RATE,600,1200,456,Real Data,1200,no,https://www.aptindex.com/
1439588.94145025,518090.462699592,37,152,BEACON HILL,1322 BEACON RIDGE ROAD,"CHARLOTTE, NC 28210",MARKET RATE,600,1100,349,Real Data,1100,yes,https://www.aptindex.com/
1415412.08297992,503362.113547429,38,320,PARK AT STEELE CREEK,13301 CRESCENT SPRINGS DRIVE,"CHARLOTTE, NC 28273",MARKET RATE,700,1100,264,Real Data,1100,no,https://www.aptindex.com/
1403742.7070405,499408.331756845,39,670,BEXLEY STEELECROFT (FARMS),13900 STEELECROFT FARM LN,"CHARLOTTE, NC 28278",MARKET RATE,800,1200,336,Real Data,1200,no,https://www.aptindex.com/
1467578.80148092,561999.167532921,40,291,SOMERSET,1400 VENTURA WAY,"CHARLOTTE, NC 28213",MARKET RATE,500,1000,240,Real Data,900,yes,https://www.aptindex.com/
1464167.49137442,537823.441606253,41,292,AURORA,1425 EASTCREST DRIVE,"CHARLOTTE, NC 28205",MARKET RATE,500,1100,276,Real Data,1000,yes,https://www.aptindex.com/
1464167.49137442,537823.441606253,42,025,AURORA TOWNHOMES,1425 EASTCREST DRIVE,"CHARLOTTE, NC 28205",MARKET RATE,600,1200,144,Real Data,1100,no,https://www.aptindex.com/
