OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,LOGRECNO,geoname,Total_Households,Less_than_10000,i10000_to_14999,i15000_to19999,i20000_to_24999,i25000_to_29999,i30000_to_34999,i35000_to_39999,i40000_to_44999,i45000_to_49999,i50000_to_59999,i60000_to_74999,i75000_to_99999,i100000_to_124999,i125000_to_149999,i150000_to_199999,i200000_or_more,Median_Household_Income,TotalFamilies,FamiliesInPoverty,FamilyPovertyRate,SHAPESTArea,SHAPESTLength
3331,37,119,001609,2,371190016092,Block Group 2,0016185,"Block Group 2, Census Tract 16.09, Mecklenburg County, North Carolina",995,111,37,46,73,66,38,87,16,68,127,134,82,68,32,10,0,45963,558,149,0.26702509,14470859.613066,18153.9915106863
3332,37,119,003109,1,371190031091,Block Group 1,0016319,"Block Group 1, Census Tract 31.09, Mecklenburg County, North Carolina",1101,40,11,44,136,102,125,25,102,67,151,90,122,49,0,37,0,43609,513,107,0.208577,5838491.6349625,11934.2064523306
3333,37,119,006405,2,371190064052,Block Group 2,0016677,"Block Group 2, Census Tract 64.05, Mecklenburg County, North Carolina",1101,20,46,49,40,28,57,25,24,35,122,90,100,141,30,147,147,85258,622,14,0.02250804,94166046.9268699,46805.8840929424
3334,37,119,002702,1,371190027021,Block Group 1,0016260,"Block Group 1, Census Tract 27.02, Mecklenburg County, North Carolina",842,18,14,0,25,12,58,0,0,0,51,29,64,30,103,70,368,180175,550,14,0.02545455,17377503.4723309,18116.2113867391
3335,37,119,003013,1,371190030131,Block Group 1,0016296,"Block Group 1, Census Tract 30.13, Mecklenburg County, North Carolina",1065,37,14,0,0,0,16,0,39,44,16,68,14,62,81,152,522,194514,849,14,0.01648999,37092920.758674,36604.3541276271
3336,37,119,000100,4,371190001004,Block Group 4,0016134,"Block Group 4, Census Tract 1, Mecklenburg County, North Carolina",83,17,0,0,0,0,0,46,0,0,0,0,0,0,0,0,20,0,0,0,0,4499537.53488984,10270.2170912538
3337,37,119,005815,1,371190058151,Block Group 1,0016521,"Block Group 1, Census Tract 58.15, Mecklenburg County, North Carolina",1203,48,17,13,19,59,23,13,89,25,142,95,140,123,57,121,219,82228,789,53,0.06717364,45841391.6575326,31477.3316830701
3338,37,119,003500,1,371190035001,Block Group 1,0016335,"Block Group 1, Census Tract 35, Mecklenburg County, North Carolina",713,0,0,0,14,12,33,0,54,25,89,76,107,89,72,72,70,85375,277,0,0,9604402.18136309,15373.047962532
3339,37,119,004000,3,371190040003,Block Group 3,0016363,"Block Group 3, Census Tract 40, Mecklenburg County, North Carolina",503,59,38,34,32,30,55,10,21,0,59,64,67,34,0,0,0,38375,320,25,0.078125,12184565.9454213,16104.0846292498
3340,37,119,005907,1,371190059071,Block Group 1,0016589,"Block Group 1, Census Tract 59.07, Mecklenburg County, North Carolina",1636,43,10,0,42,7,0,17,38,16,71,137,145,415,105,458,132,119216,1275,70,0.05490196,43082347.5224715,32032.4252876749
3341,37,119,005711,1,371190057111,Block Group 1,0016500,"Block Group 1, Census Tract 57.11, Mecklenburg County, North Carolina",167,0,15,0,0,0,16,0,0,0,0,35,15,10,18,32,26,108125,137,0,0,20911741.7949676,19691.9704580537
3342,37,119,004800,2,371190048002,Block Group 2,0016390,"Block Group 2, Census Tract 48, Mecklenburg County, North Carolina",426,101,41,29,53,24,4,39,6,12,45,30,42,0,0,0,0,23553,241,72,0.29875519,7022314.38739316,11212.1937452366
3343,37,119,005848,1,371190058481,Block Group 1,0016582,"Block Group 1, Census Tract 58.48, Mecklenburg County, North Carolina",821,8,0,0,0,7,9,0,9,0,9,61,46,130,95,181,266,158272,781,8,0.01024328,28159153.2807498,27016.547172478
3344,37,119,001509,1,371190015091,Block Group 1,0016172,"Block Group 1, Census Tract 15.09, Mecklenburg County, North Carolina",479,8,54,13,25,24,5,49,5,63,65,9,73,79,0,0,7,47242,364,67,0.18406593,7370779.67900391,12212.2023505331
3345,37,119,005618,1,371190056181,Block Group 1,0016482,"Block Group 1, Census Tract 56.18, Mecklenburg County, North Carolina",667,11,0,0,10,16,16,36,42,20,88,52,50,74,52,106,94,97917,541,11,0.02033272,59761966.8398305,30890.0816061355
3346,37,119,001801,3,371190018013,Block Group 3,0016194,"Block Group 3, Census Tract 18.01, Mecklenburg County, North Carolina",255,0,7,23,9,23,82,9,0,16,11,6,33,5,0,18,13,33036,110,16,0.14545455,5935682.09343535,13254.8024596774
3347,37,119,001504,2,371190015042,Block Group 2,0016163,"Block Group 2, Census Tract 15.04, Mecklenburg County, North Carolina",548,18,29,88,18,33,87,18,0,17,47,58,88,0,41,0,6,37639,381,46,0.12073491,12707649.2042684,15665.0663831904
3348,37,119,006006,2,371190060062,Block Group 2,0016613,"Block Group 2, Census Tract 60.06, Mecklenburg County, North Carolina",799,0,3,0,103,14,88,74,101,0,108,137,102,14,31,24,0,53081,700,3,0.00428571,41211947.046226,39317.0411495581
3349,37,119,000600,1,371190006001,Block Group 1,0016142,"Block Group 1, Census Tract 6, Mecklenburg County, North Carolina",425,10,30,0,41,0,0,0,20,27,25,76,45,60,0,44,47,64625,203,10,0.04926108,3940934.78113672,9395.53447918351
3350,37,119,002002,1,371190020021,Block Group 1,0016231,"Block Group 1, Census Tract 20.02, Mecklenburg County, North Carolina",859,70,32,0,0,12,16,12,0,0,92,69,105,102,59,122,168,101581,556,13,0.02338129,21406571.3822193,21282.4458608497
3351,37,119,005509,2,371190055092,Block Group 2,0016421,"Block Group 2, Census Tract 55.09, Mecklenburg County, North Carolina",583,0,0,15,0,51,40,0,77,0,97,145,24,77,43,14,0,60685,377,15,0.0397878,14175783.2723725,16825.0260241215
3352,37,119,002905,2,371190029052,Block Group 2,0016275,"Block Group 2, Census Tract 29.05, Mecklenburg County, North Carolina",637,27,35,9,37,0,26,0,0,22,43,51,24,35,8,9,311,218333,348,9,0.02586207,16575566.66461,21385.8448049472
3353,37,119,003102,1,371190031021,Block Group 1,0016307,"Block Group 1, Census Tract 31.02, Mecklenburg County, North Carolina",1077,104,103,34,59,0,32,64,40,34,87,46,135,109,104,37,89,59174,357,9,0.02521008,26494619.1087092,24770.6300053619
3354,37,119,004000,1,371190040001,Block Group 1,0016361,"Block Group 1, Census Tract 40, Mecklenburg County, North Carolina",425,52,98,78,0,0,43,25,30,13,19,31,36,0,0,0,0,19269,191,49,0.2565445,19909538.8940172,20649.5543939022
3355,37,119,005713,1,371190057131,Block Group 1,0016505,"Block Group 1, Census Tract 57.13, Mecklenburg County, North Carolina",862,9,0,18,25,16,63,41,41,19,31,106,107,51,48,146,141,90500,715,49,0.06853147,79370398.1626814,38077.8087993764
