X,Y,OBJECTID,Item_ID,Updated,Item_Name,Condition,Approximate_value,Stock_Item_or_Custom_Item,FACILITYID,XCoord,YCoord,CategoryMainType,FrontPhoto,BackPhoto,DamagePhoto,GeneralPhoto,LocationPhoto,Artist,TitleOfWork,YearInstalled,ComSource,OwnerPrivate,CommissionAmount,CurrentValue,IntExt,ComSourceOther,Owner
1450974.66605406,539863.206227481,1,160,2015/07/08 00:00:00+00,Statue,Good,,Custom,112,1450974.666,539863.2062,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_photo_444.JPG,http://maps.charlottenc.gov/static/images/Hardscape/PR_photo_246.JPG,,,http://maps.charlottenc.gov/static/images/Hardscape/PL_photo_64.jpg,Selma Burke,,,,,,,,,County
1449562.76992773,540904.980062559,2,428,2015/07/08 00:00:00+00,NASCAR Hall of Fame,,,,398,1449562.77,540904.98,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_Photo_765.jpg,,,,,Erwin Redl,"""Wipe"" and ""Elementary Particles""",,2,,15000,,2,,City
1449520.99999814,540557.000115484,3,429,2015/07/08 00:00:00+00,NASCAR Hall of Fame,,,,399,1449521,540557,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_Photo_766.jpg,,,,,Norman Coates,"""Glory Road"" and ""Racing to Get in""",,2,,15000,,2,,City
1451535.07011697,536171.629949227,4,430,2013/06/28 00:00:00+00,Little Sugar Creek Greenway,,,,400,1451535.07,536171.63,Public Art,,,,,,Masayuki Nagase,"""Aquifer""",,2,,219500,,2,,County
1476932.93008231,534661.779950559,5,431,2013/09/10 00:00:00+00,Hickory Grove Branch Library,,,,401,1476932.93,534661.78,Public Art,,,,,,Charles Pikey,Hickory Grove,,2,,31850,,1,,County
1441022.3798563,552853.690088972,6,432,2015/07/08 00:00:00+00,Rozzelles Ferry Rd and Idaho Dr,,,,402,1441022.38,552853.69,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_Photo_767.jpg,,,,,Jeff Hackney,Reflection of community,,2,,56440,,2,,City
1445666.59989855,538611.529925063,7,433,2015/07/08 00:00:00+00,Trolley Museum,,,,403,1445666.6,538611.53,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_Photo_768.jpg,,,,,Norie Sato,Branch Lines,,2,,89000,,2,,City
1434894.83994605,549100.449892059,8,434,2013/06/28 00:00:00+00,Valerie Woodard Center,,,,404,1434894.84,549100.45,Public Art,,,,,,Laurel Holtzapple,Tuckaseegee Twelve,,2,,212165,,2,,County
1438967.00010881,537820.000340149,9,435,2013/09/13 00:00:00+00,Revolution Recreation Center,,,,405,1438967.000231,537820.000231,Public Art,,,,,,Cork Marcheschi,Walls Alive,,2,,85000,,2,,County
1445997.76295014,552423.169952646,10,436,2015/07/08 00:00:00+00,CMPD Metro Division (Beatties Ford),,,,406,1445997.763,552423.17,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_Photo_808.jpg,,,http://maps.charlottenc.gov/static/images/Hardscape/PG_Photo_770.jpg,,Chandra Cox,Protect and Lift Up the People,,2,,38682,,2,,City
1466400.00003272,538378.999878317,11,437,2015/07/08 00:00:00+00,Eastside Streetscape/Central Avenue,,,,407,1466400,538379,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_Photo_771.jpg,,,,,Amy Sanders,Untitled,,2,,42001,,2,,City
1464030.99984947,538967.000014648,12,438,2013/06/28 00:00:00+00,Eastside Streetscape/ Central Avenue,,,,408,1464031,538967,Public Art,,,,,,Doug Huynh,Growth,,2,,15000,,2,,City
1463827.99992739,539160.99995473,13,439,2013/09/13 00:00:00+00,Eastside Streetscape/ Central Avenue,,,,409,1463828,539161,Public Art,,,,,,Greg Scott,Water Under the Bridge,,2,,15000,,2,,City
1456615.99991572,545341.000061899,14,440,2013/06/28 00:00:00+00,Eastside Streetscape/ Central Avenue,,,,410,1456616,545341,Public Art,,,,,,Sharon Dowell,Untitled,,2,,15000,,2,,City
1420684.99992748,575711.000017315,15,441,2013/06/28 00:00:00+00,Shuffletown Sportsplex,,,,411,1420685,575711,Public Art,,,,,,Pete Beeman,The Shuffletown Hand,,2,,72250,,2,,County
1440409.17307746,539350.398197979,19,47,2015/07/08 00:00:00+00,Statue,Good,,Custom,164,1440409.173,539350.3982,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_photo_419.jpg,http://maps.charlottenc.gov/static/images/Hardscape/PR_photo_238.jpg,http://maps.charlottenc.gov/static/images/Hardscape/PD_photo_684.jpg,http://maps.charlottenc.gov/static/images/Hardscape/PG_photo_718.jpg,http://maps.charlottenc.gov/static/images/Hardscape/PL_photo_42.jpg,,,,,,,,,,Private
1454079.21890005,531213.095246896,20,166,2015/07/08 00:00:00+00,Statue,Good,,Custom,232,1454079.219,531213.0952,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_photo_449.jpg,http://maps.charlottenc.gov/static/images/Hardscape/PR_photo_250.jpg,,http://maps.charlottenc.gov/static/images/Hardscape/PG_photo_720.jpg,http://maps.charlottenc.gov/static/images/Hardscape/PL_photo_70.jpg,Elise Shaw,Hugh McMenaway,,,,,,,,City
1451175.77884081,540984.101295397,21,168,2015/07/08 00:00:00+00,Statue,Good,,Custom,114,1451175.779,540984.1013,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_photo_451.jpg,http://maps.charlottenc.gov/static/images/Hardscape/PR_photo_252.jpg,,,http://maps.charlottenc.gov/static/images/Hardscape/PL_photo_72.jpg,,Charlotte-Mecklenburg Police Memorial,,,,,,2,,City
1448830.76811089,543598.00256364,24,179,2015/07/08 00:00:00+00,Art,,,,135,1448830.768,543598.0026,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_photo_459.jpg,,,,http://maps.charlottenc.gov/static/images/Hardscape/PL_photo_76.jpg,Jack Pentes,Wind Sculpture,,1,,,,2,,City
1449658.85602164,542725.492497638,25,212,2015/07/08 00:00:00+00,Art,Good,120000,Custom,126,1449658.856,542725.4925,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_photo_485.jpg,,,,http://maps.charlottenc.gov/static/images/Hardscape/PL_photo_92.jpg,Raymond Kaskey,Future,,1,,,,2,,City
1449592.05398989,542729.976084471,26,213,2015/07/08 00:00:00+00,Art,Good,,Custom,128,1449592.054,542729.9761,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_photo_486.jpg,,,,http://maps.charlottenc.gov/static/images/Hardscape/PL_photo_93.jpg,Raymond Kaskey,,,,,,,,,City
1467828.00012948,537866.000248149,33,415,2013/09/13 00:00:00+00,CMPD Eastway,,,,385,1467828.000231,537866.000231,Public Art,,,,,,Vivienne McConnell,Work In Progress,2013/11/13 00:00:00+00,3,,30600,,2,,City
1448021.00004539,543193.000092804,34,416,2013/06/27 00:00:00+00,Romare Bearden Park - Artwork,,,,386,1448021,543193,Public Art,,,,,,Richard Hunt,Work In Progress,,2,,,,2,,County
1490770.00017713,498758.000380307,35,417,2013/06/27 00:00:00+00,Matthews Sportsplex,,,,387,1490770.000231,498758.000231,Public Art,,,,,,Shaun Cassidy,Work in Progress,,3,,68000,,2,,County
1419331.04987948,507691.180020481,36,418,2015/07/08 00:00:00+00,CMPD Steele Creek Division,,,,388,1419331.05,507691.18,Public Art,,,,http://maps.charlottenc.gov/static/images/Hardscape/PG_Photo_757.jpg,,Billy Lee,Canopy,,2,,36000,,2,,City
